transitLine;transitRoute;shape;lengthRatio;Q25;Q50;Q75;Q85;Q95;MAX_DISTANCE
1430;136656A2873B4284;5;-0.070738360186263;1.353163674401197;6.323506530414649;40.90974401144282;75.645245295511;136.18786626024058;190.5029865120136
1430;136672A2873B4284;10;0.03326890230065947;3.4228738625745936;19.42640441660565;79.18874817718283;125.7288125258652;186.7418065624026;253.50920987532498
1430;136659A2873B4284;5;-0.070738360186263;1.353163674401197;6.323506530414649;40.90974401144282;75.645245295511;136.18786626024058;190.5029865120136
1430;136671A2873B4284;11;-0.08628630580014417;1.2228992158827285;8.839754254853217;93.47299893639142;183.7054375422619;658.4907403429589;815.5339434684427
1430;136666A2873B4284;11;-0.08628630580014417;1.2228992158827285;8.839754254853217;93.47299893639142;183.7054375422619;658.4907403429589;815.5339434684427
1431;i3-frequency_id14823-136614A2873B4284;46;-0.19848428267649212;0.6534621479631133;3.778164673388649;43.06042005683963;83.32295903633361;197.27697563344663;283.5392335164259
1431;136612A2873B4284;41;-0.17381802051445505;0.5002843808917704;1.963624775134378;5.486618971485795;51.17922038133446;91.70004100714141;135.7547126659191
1432;i2-frequency_id13771-59311A4124B5457;47;-0.07273286739731567;0.24595045438589574;0.7984076704221773;2.4900839794126592;4.792107580017205;73.74289452288582;164.17627443155908
1433;i2-frequency_id14837-136621A4124B5457;49;-0.09832835782008287;0.20619292486541227;1.6541251861960362;8.58048799620393;18.818397675667118;37.370948341000606;52.5824776133084
1433;i1-frequency_id14841-136622A2873B4284;45;0.08715581036735523;0.6158814688586908;3.7021136103375056;12.24078485401181;27.46820276226192;197.34389873376685;381.34228590503557
1434;i5-frequency_id13776-59359A4124B5457;44;-0.03252359032681876;0.7046395414680068;1.8398795678857582;7.916969598549795;16.100938704177995;38.67208662161833;59.65425046019043
1435;59386A4124B5457;4;-0.05522769343511684;1.4226567131333685;6.457410177200283;154.11332393228506;724.4042112591113;1000.5371815616693;1342.9205288885803
1435;59390A4124B5457;3;-0.0630897644112812;1.5784971416001965;6.8523518450634855;154.63102990041506;724.739123267433;1001.3864495281766;1342.9249416016169
1435;59387A4124B5457;4;-0.05522769343511684;1.4226567131333685;6.457410177200283;154.11332393228506;724.4042112591113;1000.5371815616693;1342.9205288885803
1435;59385A4124B5457;4;-0.05522769343511684;1.4226567131333685;6.457410177200283;154.11332393228506;724.4042112591113;1000.5371815616693;1342.9205288885803
1437;59479A1159B4285;17;0.006496999226431095;1.1234765856890836;5.2640307850366375;19.731400148893094;36.608589176241715;122.54510868549801;416.740699986091
1437;59476A1159B4285;6;-0.0043306482219292505;1.2207477629746848;5.958639108319532;20.110880399296104;35.633479492553825;93.88179341434841;296.91335559204305
1437;59473A1159B4285;40;-0.03719167174523735;0.8392141867952587;3.4398128177746328;15.189056395189224;37.18594096758928;87.4152212317262;296.9365240674407
1437;59474A1159B4285;6;-0.0043306482219292505;1.2207477629746848;5.958639108319532;20.110880399296104;35.633479492553825;93.88179341434841;296.91335559204305
1438;136690A2873B4284;1;-0.03632579619055053;1.016775165264261;3.603937147685307;13.318332504011996;27.14466711956994;64.32164820952603;324.00840900440573
1438;136686A2873B4284;37;-0.16132604280517818;6.5548070408956916;219.49462532705013;2431.5221827866226;3256.5577363543243;4157.553884776748;4565.416912411409
1438;136688A2873B4284;1;-0.03632579619055053;1.016775165264261;3.603937147685307;13.318332504011996;27.14466711956994;64.32164820952603;324.00840900440573
1438;136687A2873B4284;2;-0.035338108057556133;0.7365172676559127;3.546319058423469;13.031928943000441;27.384640679505846;75.22142827967187;324.2124034638948
1438;136689A2873B4284;27;-0.03252045750610014;1.0301804895126856;3.690339731580637;13.424773085771356;27.402558848591152;68.08585312718296;324.0755977034099
1438;136694A2873B4284;24;-0.07241955268521914;1.7203253867362656;11.066394856967745;52.01336640639418;202.48786921311785;1281.7519617648406;1488.6688204963637
1438;136693A2873B4284;43;-0.04363389800736786;1.1398454769315596;4.504245912707804;17.201813851009167;32.579752659354206;74.1620730546484;323.9659251755106
1438;136691A2873B4284;27;-0.03252045750610014;1.0301804895126856;3.690339731580637;13.424773085771356;27.402558848591152;68.08585312718296;324.0755977034099
1438;136692A2873B4284;1;-0.03632579619055053;1.016775165264261;3.603937147685307;13.318332504011996;27.14466711956994;64.32164820952603;324.00840900440573
1438;136685A2873B4284;22;-0.026500557195413256;0.6585389998772441;3.1749459138873104;11.739683037884687;23.56914529001793;67.27217387094446;324.1098107169752
1439;136709A2873B4284;31;0.005241247625395381;0.39424165940209677;1.4482140228297529;5.196790099429211;9.800042303486094;21.334904457171543;325.1504990470637
1439;136710A2873B4284;32;6.96393548297946E-4;1.3404461599063724;3.1998205732023006;6.647778741727339;10.937889592036742;22.756124896357463;325.0821646575766
1439;136712A2873B4284;29;0.0018542242118849725;1.1484651511198318;3.1339911217490113;6.479182821932913;10.94155237341527;22.805223491399328;325.0896208744989
1439;136707A2873B4284;9;0.0063682872242596;1.0780284466982737;2.99801506822984;6.1549394456395845;10.297165370157195;20.084536540347184;325.0896208744989
1439;136708A2873B4284;34;7.654996488897744E-4;0.40156046589621436;1.4901835935524679;5.390590678710016;10.038177502267242;23.363819939747447;325.1504990470637
1439;136711A2873B4284;19;-0.02054719217910086;0.7828419655665619;9.610399778362382;1555.4764446465642;1814.4012520909018;2281.845450118923;2560.020159307655
1439;136713A2873B4284;9;0.0063682872242596;1.0780284466982737;2.99801506822984;6.1549394456395845;10.297165370157195;20.084536540347184;325.0896208744989
1439;136706A2873B4284;25;-0.0164362474226719;1.4423279872139938;3.1943633668995277;8.085559901464666;11.901800498843967;20.990332337344174;66.05947088952821
1439;136705A2873B4284;8;-0.004446452111151586;1.5898581409166381;3.397494894196942;7.410909886901237;11.35951854456483;21.89557833348876;325.18669836492126
1440;59464A1153B2495;35;-0.04990616003564323;1.230015369931885;4.415636853524946;17.451662791899267;35.98243099831556;485.1436427580221;1152.1641743628068
1440;59465A1153B2495;28;-0.036054135635922385;1.1171574583232835;4.179759954071899;18.508047695274257;40.060578307463075;559.0922951876973;1152.1641743628068
1440;59467A1153B2495;33;-0.038578078149232274;0.9908541270608802;3.859154857775388;15.132964888080203;31.195929206091193;463.0315600340332;1152.1661798257512
1440;59466A1153B2495;20;-0.03887688305414341;1.163100174501181;4.639771438043682;19.37786607717856;41.5443249452055;539.0881437284681;1152.1244243310393
